,,,,,,,
Column,Distribution,Relation,r_squared,,,,
Temperatures_Reg02_Sps_Istwert,0.002339216,FALSE,1.370508596,Misc_Mtd01_Sps_Istwert,0.645047894,TRUE,5.564599112
Temperatures_Reg03_Sps_Istwert,0.624020865,FALSE,1.758358441,Feeder_Dos01_Sps_MotorStellwert,0.285934048,FALSE,3.070943803
Temperatures_Reg04_Sps_Istwert,0.013650199,FALSE,0.308156805,Feeder_Dos03_Sps_MotorStellwert,0.038958149,FALSE,2.479114197
Temperatures_Reg05_Sps_Istwert,0.090480286,FALSE,0.230594049,Feeder_Dos04_Sps_MotorStellwert,4.82E-09,TRUE,14.98049647
Temperatures_Reg06_Sps_Istwert,0.234022833,TRUE,9.287321568,Feeder_Dos05_Sps_MotorStellwert,0.010563564,TRUE,26.65241063
Temperatures_Reg07_Sps_Istwert,7.26E-08,FALSE,1.414128579,Feeder_Dos01_Sps_Dosierfaktor,0.010948421,TRUE,6.435285509
Temperatures_Reg08_Sps_Istwert,1.00E-05,TRUE,23.00567031,Feeder_Dos02_Sps_Dosierfaktor,1.29E-07,TRUE,10.25774181
Temperatures_Reg09_Sps_Istwert,3.20E-06,FALSE,1.865648292,Feeder_Dos03_Sps_Dosierfaktor,0.069363991,FALSE,2.885168232
Temperatures_Reg10_Sps_Istwert,0.00757466,FALSE,2.369393781,Feeder_Dos04_Sps_Dosierfaktor,0.006108902,TRUE,18.05032343
Temperatures_Reg11_Sps_Istwert,0.075736104,TRUE,31.9581598,Feeder_Dos05_Sps_Dosierfaktor,2.01E-05,TRUE,33.37213397
Temperatures_Reg12_Sps_Istwert,0.110842322,TRUE,27.16224194,Feeder_Dos06_Sps_Dosierfaktor,4.55E-12,TRUE,8.302318305
Feeder_DosSum_Sps_Durchsatz_Istwert,8.63E-16,TRUE,4.223451391,Feeder_Dos01_Sps_MotorDrehzahl,0.2853914,FALSE,3.06991972
Feeder_DosSum_Pc_Durchsatz_Sollwert,8.63E-16,FALSE,1.42365098,Feeder_Dos03_Sps_MotorDrehzahl,0.038882761,FALSE,2.476363815
Feeder_Dos01_Sps_Durchsatz_Istwert,8.63E-16,FALSE,1.404876728,Feeder_Dos04_Sps_MotorDrehzahl,4.78E-09,TRUE,15.05400091
Feeder_Dos03_Sps_Durchsatz_Istwert,9.38E-16,FALSE,3.196045756,Feeder_Dos05_Sps_MotorDrehzahl,0.010640341,TRUE,26.6349107
Feeder_Dos04_Sps_Durchsatz_Istwert,1.54E-12,FALSE,0.47171535,Feeder_Dos01_Sps_Nettogewicht,5.58E-12,TRUE,4.809043184
Feeder_Dos05_Sps_Durchsatz_Istwert,1.86E-14,FALSE,1.219663303,Feeder_Dos02_Sps_Nettogewicht,1.29E-07,TRUE,10.25774181
Misc_Hat_Sps_Drehzahl_Istwert,2.03E-16,FALSE,1.097210962,Feeder_Dos03_Sps_Nettogewicht,4.98E-06,FALSE,1.799445041
Misc_Hat_Pc_Drehzahl_Sollwert,2.07E-16,FALSE,1.096803136,Feeder_Dos04_Sps_Nettogewicht,0.388889861,FALSE,0.199658959
Misc_Hat_Sps_Drehmoment_Istwert,0.196565578,TRUE,23.25832397,Feeder_Dos05_Sps_Nettogewicht,9.55E-12,FALSE,0.807342865
Temperatures_AE_Materialtemperatur01,6.88E-05,TRUE,29.61928844,Feeder_Dos06_Sps_Nettogewicht,4.59E-12,TRUE,5.377102643
Temperatures_AE_Materialtemperatur02,0.061909484,TRUE,30.8275938,,,,
