,,,,,,,,,,
,,,,,,,,,,
,,,Column,Distribution,Relation,r_squared,,,,
,,,Temperatures_Reg02_Sps_Istwert,2.72E-25,FALSE,1.822291687,Feeder_Dos03_Sps_MotorStellwert,6.20E-05,TRUE,7.799309492
,,,Temperatures_Reg03_Sps_Istwert,0.032923728,FALSE,0.318266591,Feeder_Dos04_Sps_MotorStellwert,8.10E-18,FALSE,0.721557345
,,,Temperatures_Reg04_Sps_Istwert,2.57E-41,TRUE,2.838607132,Feeder_Dos05_Sps_MotorStellwert,1.70E-53,TRUE,2.622886188
,,,Temperatures_Reg05_Sps_Istwert,4.00E-52,TRUE,2.289075591,Feeder_Dos06_Sps_MotorStellwert,3.36E-22,TRUE,4.377518222
,,,Temperatures_Reg06_Sps_Istwert,1.58E-48,FALSE,0.885924231,Feeder_Dos08_Sps_MotorStellwert,1.01E-16,FALSE,0.090813392
,,,Temperatures_Reg07_Sps_Istwert,7.83E-05,FALSE,0.400878768,Feeder_Dos01_Sps_Dosierfaktor,0,TRUE,2.833603136
,,,Temperatures_Reg08_Sps_Istwert,9.73E-251,TRUE,9.46290344,Feeder_Dos02_Sps_Dosierfaktor,4.47E-26,FALSE,2.200781181
,,,Temperatures_Reg09_Sps_Istwert,4.81E-07,TRUE,13.62823099,Feeder_Dos03_Sps_Dosierfaktor,0.218985592,TRUE,11.70561835
,,,Temperatures_Reg10_Sps_Istwert,6.89E-14,FALSE,0.008259297,Feeder_Dos04_Sps_Dosierfaktor,1.12E-20,FALSE,0.593646849
,,,Temperatures_Reg11_Sps_Istwert,0.00480628,TRUE,6.828133017,Feeder_Dos05_Sps_Dosierfaktor,0.427132139,FALSE,0.340593047
,,,Temperatures_Reg12_Sps_Istwert,2.51E-10,TRUE,6.52930662,Feeder_Dos06_Sps_Dosierfaktor,0.01981331,FALSE,0.077126612
,,,Feeder_DosSum_Sps_Durchsatz_Istwert,4.68E-28,TRUE,7.900220156,Feeder_Dos08_Sps_Dosierfaktor,0.001338692,TRUE,6.520336121
,,,Feeder_DosSum_Pc_Durchsatz_Sollwert,4.49E-28,TRUE,7.886488736,Feeder_Dos01_Sps_MotorDrehzahl,0,FALSE,0.987789966
,,,Feeder_Dos01_Sps_Durchsatz_Istwert,1.52E-20,TRUE,9.761918336,Feeder_Dos03_Sps_MotorDrehzahl,6.09E-05,TRUE,7.811111212
,,,Feeder_Dos03_Sps_Durchsatz_Istwert,2.01E-25,TRUE,2.746509947,Feeder_Dos04_Sps_MotorDrehzahl,8.12E-13,FALSE,1.416653208
,,,Feeder_Dos04_Sps_Durchsatz_Istwert,3.30E-15,TRUE,2.951878309,Feeder_Dos05_Sps_MotorDrehzahl,1.69E-53,TRUE,2.621735074
,,,Feeder_Dos05_Sps_Durchsatz_Istwert,6.04E-43,FALSE,1.319690701,Feeder_Dos06_Sps_MotorDrehzahl,3.30E-22,TRUE,4.378017411
,,,Feeder_Dos06_Sps_Durchsatz_Istwert,2.62E-28,FALSE,0.349475374,Feeder_Dos08_Sps_MotorDrehzahl,9.90E-17,FALSE,0.090246246
,,,Feeder_Dos08_Sps_Durchsatz_Istwert,3.65E-16,FALSE,0.020760763,Feeder_Dos01_Sps_Nettogewicht,1.53E-16,FALSE,0.070911262
,,,Misc_Hat_Sps_Drehzahl_Istwert,1.37E-34,TRUE,8.440684527,Feeder_Dos02_Sps_Nettogewicht,0,TRUE,5.506368726
,,,Misc_Hat_Pc_Drehzahl_Sollwert,8.77E-36,TRUE,6.820286065,Feeder_Dos03_Sps_Nettogewicht,1.08E-09,TRUE,3.470729291
,,,Misc_Hat_Sps_Drehmoment_Istwert,0.035273927,FALSE,0.313500059,Feeder_Dos04_Sps_Nettogewicht,1.96E-18,TRUE,4.042053223
,,,Temperatures_AE_Materialtemperatur01,7.13E-221,TRUE,13.48647177,Feeder_Dos05_Sps_Nettogewicht,1.59E-263,TRUE,9.821283817
,,,Temperatures_AE_Materialtemperatur02,2.94E-228,TRUE,6.78903833,Feeder_Dos06_Sps_Nettogewicht,4.68E-08,FALSE,1.78951323
,,,Misc_Mtd01_Sps_Istwert,1.34E-15,TRUE,2.510323562,Feeder_Dos08_Sps_Nettogewicht,1.62E-17,FALSE,0.000928071
,,,Feeder_Dos01_Sps_MotorStellwert,0,FALSE,0.989517849,,,,
